Release Year,Origin/Ethnicity,Director,Cast
1940,American,Alfred Hitchcock,"Joel McCrea, Laraine Day, Herbert Marshall"
1940,American,Phil Rosen,"Louise Platt, Donald Woods"
1940,American,Busby Berkeley,"Eddie Cantor, Judith Anderson"
1940,American,Archie Mayo,"Don Ameche, Eugenie Leontovich, Mary Beth Hughes"
1940,American,Ricardo Cortez,"Lynn Bari, Joan Davis, Mary Beth Hughes"
1940,American,Jules White,The Three Stooges
1940,American,Terry O. Morse,"Roger Pryor, Lucile Fairbanks, Eddie Foy, Jr."
1940,American,George Amy,"Wayne Morris, Jane Wyman"
1940,American,Arthur Lubin,"Lloyd Nolan, Lola Lane"
1940,American,Frank McDonald,"Gene Autry, June Storey"
1940,American,George Marshall,"Bob Hope, Paulette Goddard, Richard Carlson, Anthony Quinn"
1940,American,Wilhelm Thiele,"Frank Morgan, Billie Burke"
1940,American,Lew Landers,"Claire Carleton, Dennis O'Keefe"
1940,American,Charles Lamont,"Billy Halop, Huntz Hall, Gabriel Dell"
1940,American,Leslie Fenton,"Lew Ayres, Rita Johnson, Lloyd Nolan"
1940,American,Edward Dmytryk,"Richard Denning, Jeanne Cagney"
1940,American,Edwin L. Marin,"Ann Sothern, Lee Bowman"
1940,American,Edward Buzzell,"Marx Brothers, John Carroll, Diana Lewis"
1940,American,George Amy,"May Robson, Margot Stevenson"
1940,American,John Ford,"Henry Fonda, Jane Darwell, John Carradine"
1940,American,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Jack Oakie"
1940,American,Preston Sturges,"Brian Donlevy, Muriel Angelus, Akim Tamiroff"
1940,American,James Horne,"Victor Jory, Iris Meredith"
1940,American,James Whale,"Douglas Fairbanks, Jr., Joan Bennett, John Howard"
1940,American,Al Christie,"Heather Angel, John King"
1940,American,Roy Del Ruth,"Joel McCrea, Nancy Kelly, Roland Young"
1940,American,Edward Dmytryk,"Edith Fellows, Alan Ladd"
1940,American,"George Nicholls, Jr.","Jane Withers, Lloyd Corrigan"
1940,American,William A. Seiter,"Rosalind Russell, Brian Aherne, Virginia Bruce"
1940,American,Howard Hawks,"Cary Grant, Rosalind Russell, Ralph Bellamy"
1940,American,John H. Auer,"Kenny Baker, Frances Langford, Hugh Herbert, Ann Miller"
1940,American,Sam Newfield,"Frances Gifford, James Dunn"
1940,American,Archie Mayo,"George Raft, Joan Bennett, Lloyd Nolan"
1940,American,Joe May,"George Sanders, Margaret Lindsay, Nan Grey, Vincent Price, Dick Foran"
1940,American,Del Lord,The Three Stooges
1940,American,Frank Lloyd,"Cary Grant, Martha Scott, Cedric Hardwicke"
1940,American,Edwin L. Marin,"Frank Morgan, Virginia Grey, Dan Dailey"
1940,American,Joseph Santley,"James Ellison, Renie Riano, Phil Silvers"
1940,American,W. S. Van Dyke,"William Powell, Myrna Loy"
1940,American,Sam Newfield,"Joyce Compton, Gordon Jones"
1940,American,W. S. Van Dyke,"Spencer Tracy, Hedy Lamarr, Laraine Day"
1940,American,Ralph Murphy,"Joan Blondell, Dick Powell"
1940,American,David Butler,"Bing Crosby, Gloria Jean"
1940,American,Arthur Lubin,"Helen Parrish, Constance Moore"
1940,American,Irving Reis,"Kent Taylor, Linda Hayes"
1940,American,Joe May,"Cedric Hardwicke, Vincent Price, Nan Grey"
1940,American,A. Edward Sutherland,"Virginia Bruce, John Barrymore, John Howard"
1940,American,Herbert Wilcox,"Anna Neagle, Ray Milland, Roland Young"
1940,American,Lewis Seiler,"Ann Sheridan, Jeffrey Lynn, Humphrey Bogart"
1940,American,William A. Seiter,"Deanna Durbin, Kay Francis, Walter Pidgeon"
1940,American,Gregory Ratoff,"Vera Zorina, Richard Greene"
1940,American,Henry Hathaway,"Tyrone Power, Dorothy Lamour"
1940,American,"William Witney, John English",Allan Lane
1940,American,Sam Wood,"Ginger Rogers, Dennis Morgan, James Craig"
1940,American,Walter Lantz (producer),
1940,American,Lloyd Bacon,"Pat O'Brien, Ronald Reagan"
1940,American,Jack Hively,"Tim Holt, Virginia Gilmore"
1940,American,Charles Vidor,"Glenn Ford, Rita Hayworth"
1940,American,Curtis Bernhardt,"Miriam Hopkins, Claude Rains, Richard Ainley"
1940,American,William Wyler,"Bette Davis, Herbert Marshall, James Stephenson"
1940,American,William Wellman,"Ronald Colman, Walter Huston, Ida Lupino"
1940,American,Irving Cummings,"Alice Faye, Don Ameche, Henry Fonda"
1940,American,Norman Z. McLeod,"Kay Francis, Jack Oakie, Ann Gillis"
1940,American,Norman Taurog,"Judy Garland, George Murphy"
1940,American,Henry King,"Fred MacMurray, Alice Faye, Brenda Joyce"
1940,American,Sidney Salkow,"Warren William, Jean Muir"
1940,American,John Ford,"John Wayne, Thomas Mitchell, Ian Hunter"
1940,American,Mark Sandrich,"Jack Benny, Fred Allen, Mary Martin"
1940,American,H. Bruce Humberstone,"Cesar Romero, Mary Beth Hughes"
1940,American,Lewis Milestone,"Ronald Colman, Ginger Rogers, Jack Carson"
1940,American,Edwin L. Marin,"Ann Sothern, Lew Ayres"
1940,American,Irving Pichel,"Joan Bennett, Francis Lederer"
1940,American,"Benjamin Stoloff, George Nicholls, Jr.","Richard Dix, Chester Morris, Lucille Ball"
1940,American,Rouben Mamoulian,"Tyrone Power, Linda Darnell, Basil Rathbone"
1940,American,Sam Newfield,"Warren Hull, Isabel Jewell"
1940,American,John Farrow,"Barbara Read, Helen Vinson"
1940,American,Henry King,"Walter Brennan, Fay Bainter"
1940,American,Arthur Lubin,"Ralph Bellamy, Margaret Lindsay"
1940,American,Joseph Santley,"Jane Frazee, Johnny Downs"
1940,American,Joseph Santley,"Gene Autry, Jimmy Durante, Ann Miller"
1940,American,Rudolf Ising,Bernice Hansen
1940,American,Leslie Goodwins,"Joe Penner, Russ Brown"
1940,American,Ray McCarey,"Lee Tracy, Linda Hayes"
1940,American,William Beaudine,"Betty Blythe, Harry Langdon"
1940,American,Frank Borzage,"James Stewart, Margaret Sullavan, Robert Young, Frank Morgan"
1940,American,Jack King,
1940,American,Christy Cabanne,"Dick Foran, Peggy Moran"
1940,American,Lewis Seiler,"Ronald Reagan, John Litel, Lya Lys"
1940,American,Harry Lachman,"Sidney Toler, Ricardo Cortez, Marjorie Weaver"
1940,American,Garson Kanin,"Irene Dunne, Cary Grant, Randolph Scott"
1940,American,Edward F. Cline,"Mae West, W. C. Fields"
1940,American,Curtis Bernhardt,"Olivia de Havilland, Jeffrey Lynn, Jane Wyman"
1940,American,"William Witney, John English",Eduardo Ciannelli
1940,American,Edward Dmytryk,Carole Landis
1940,American,Jack Conway,"Jeanette MacDonald, Nelson Eddy"
1940,American,Del Lord,The Three Stooges
1940,American,Cecil B. DeMille,"Gary Cooper, Madeleine Carroll, Paulette Goddard"
1940,American,"King Vidor, Jack Conway, W. S. Van Dyke","Spencer Tracy, Robert Young, Walter Brennan"
1940,American,William Keighley,"James Stewart, Rosalind Russell"
1940,American,Jules White,The Three Stooges
1940,American,Tex Avery,Willoughby the Dog
1940,American,Robert MacGowan,"Jackie Moran, Marcia Mae Jones"
1940,American,"Hal Roach, Jr., Hal Roach","Victor Mature, Carole Landis, Lon Chaney, Jr."
1940,American,George Archainbaud,"Charles Ruggles, Janice Logan"
1940,American,Bob Clampett,Porky the Pig
1940,American,Phil Rosen,"Keye Luke, Grant Withers"
1940,American,George Cukor,"Cary Grant, Katharine Hepburn, James Stewart"
1940,American,"T. Hee, Wilfred Jackson, Jack Kinney","voices of Cliff Edwards, Evelyn Venable, Mel Blanc"
1940,American,Robert Z. Leonard,"Greer Garson, Laurence Olivier, Edward Ashley"
1940,American,Gregory La Cava,"Ginger Rogers, Joel McCrea, Marjorie Rambeau"
1940,American,Albert S. Rogell,"Nancy Kelly, Roland Young, Robert Cummings"
1940,American,H. Bruce Humberstone,"Wayne Morris, Virginia Dale, Lillian Cornell"
1940,American,James P. Hogan,"Ralph Bellamy, Blanche Yurka"
1940,American,Phil Rosen,"Charles Bickford, Irene Rich, June Carlson"
1940,American,Frank McDonald,"Gene Autry, June Storey"
1940,American,Joseph Kane,"Roy Rogers, Julie Bishop"
1940,American,Sam Wood,"Fred MacMurray, Albert Dekker, Patricia Morison"
1940,American,Alfred Hitchcock,"Laurence Olivier, Joan Fontaine"
1940,American,Mitchell Leisen,"Barbara Stanwyck, Fred MacMurray"
1940,American,Victor Schertzinger,"Bing Crosby, Mary Martin, Basil Rathbone"
1940,American,Frank McDonald,"Gene Autry, Mary Lee"
1940,American,Victor Schertzinger,"Bob Hope, Bing Crosby"
1940,American,Jules White,The Three Stooges
1940,American,Allan Dwan,"Nancy Kelly, Jon Hall"
1940,American,Jack Hively,"George Sanders, Wendy Barrie"
1940,American,Jack Hively,"George Sanders, Helene Whitney"
1940,American,Michael Curtiz,"Errol Flynn, Olivia de Havilland"
1940,American,Gordon Douglas,Laurel and Hardy
1940,American,Vincent Sherman,"John Garfield, Anne Shirley"
1940,American,Michael Curtiz,"Errol Flynn, Brenda Marshall, Claude Rains"
1940,American,H. C. Potter,"Fred Astaire, Paulette Goddard, Artie Shaw"
1940,American,Tay Garnett,"Marlene Dietrich, John Wayne"
1940,American,William Clemens,"Eve Arden, Roger Pryor"
1940,American,Alfred E. Green,"Jane Withers, Gene Autry, Marjorie Weaver"
1940,American,Ernst Lubitsch,"James Stewart, Margaret Sullavan"
1940,American,Richard Kahn,"Zack Williams, Laura Bowman"
1940,American,Rowland V. Lee,"Louis Hayward, Joan Bennett, George Sanders"
1940,American,William Nigh,"Jean Parker, James Dunn"
1940,American,S. Sylvan Simon,"Robert Young, Maureen O'Sullivan"
1940,American,Henry Koster,"Deanna Durbin, Robert Cummings, Mischa Auer"
1940,American,Walter Lang,"Linda Darnell, John Payne"
1940,American,Boris Ingster,"Peter Lorre, Charles Waldron"
1940,American,Busby Berkeley,"Mickey Rooney, Judy Garland, Paul Whiteman and his Orchestra"
1940,American,George Cukor,"Joan Crawford, Fredric March"
1940,American,Edward Ludwig,"Thomas Mitchell, Edna Best, Freddie Bartholomew"
1940,American,Terry O. Morse,"John Payne, Dennis Morgan"
1940,American,James W. Horne,"William Tracy, Sheila Darcy"
1940,American,James Hogan,"Ellen Drew, John Howard"
1940,American,Joseph H. Lewis,Leo Gorcey
1940,American,Raoul Walsh,"George Raft, Humphrey Bogart, Ida Lupino, Ann Sheridan"
1940,American,Garson Kanin,"Carole Lombard, Charles Laughton, William Gargan"
1940,American,Robert Z. Leonard,"Myrna Loy, Melvyn Douglas"
1940,American,Theodore Reed,"William Holden, Bonita Granville, Judith Barrett"
1940,American,Bernard Vorhaus,"John Wayne, Sigrid Gurie"
1940,American,Edmund Goulding,"Merle Oberon, Pat O'Brien, Geraldine Fitzgerald"
1940,American,George Abbott,"Lucille Ball, Frances Langford, Desi Arnaz"
1940,American,William Keighley,"James Cagney, Ann Sheridan, Pat O'Brien"
1940,American,Allan Dwan,"Franchot Tone, Warren William, Broderick Crawford"
1940,American,Lewis Seiler,"Marjorie Rambeau, Jane Wyman, Ronald Reagan"
1940,American,Hal Roach,"Adolphe Menjou, Carole Landis"
1940,American,S. Sylvan Simon,"Lana Turner, Joan Blondell"
1940,American,Louis King,"Dorothy Lamour, Robert Preston, Lynne Overman"
1940,American,George Archainbaud,"Patricia Morison, Ray Milland"
1940,American,Howard Bretherton,"Marjorie Reynolds, Frankie Darrow"
1940,American,George Stevens,"Carole Lombard, Brian Aherne"
1940,American,Michael Curtiz,"Errol Flynn, Miriam Hopkins, Randolph Scott, Humphrey Bogart"
1940,American,Lew Landers,"Anita Louise, Chester Morris"
1940,American,Mervyn LeRoy,"Vivien Leigh, Robert Taylor, Lucile Watson"
1940,American,William Wyler,"Gary Cooper, Walter Brennan, Doris Davenport"
1940,American,George Marshall,"Randolph Scott, Kay Francis"
1940,American,Arthur Lubin,"Wendy Barrie, Mona Barrie, John Hubbard"
1940,American,Tex Avery,"Mel Blanc, Arthur Q. Bryan"
1940,American,"Ford Beebe, Ray Taylor","Dick Foran, Anne Nagel"
1940,American,John H. Auer,"Elsie Janis, Wendy Barrie, Patric Knowles"
1940,American,Ray McCarey,"Lucille Ball, James Ellison"
1940,American,Joseph Kane,"Roy Rogers, Sally Payne"
1940,American,Joseph Kane,"Roy Rogers, Pauline Moore"
1940,American,Allan Dwan,"Shirley Temple, Jack Oakie, Charlotte Greenwood"
1940,American,Norman Taurog,"Mickey Rooney, Fay Bainter, George Bancroft"
1940,American,Joe May,"Billy Halop, Huntz Hall, Bobby Jordan"
1940,American,Ralph Staub,"Louise Stanley, James Newill"
1941,American,Del Lord,The Three Stooges
1941,American,Gregory Ratoff,"Ingrid Bergman, Warner Baxter, Susan Hayward"
1941,American,"William Witney, John English","Tom Tyler, Frank Coghlan, Jr., Louise Currie"
1941,American,Lloyd Bacon,"Merle Oberon, Rita Hayworth"
1941,American,LeRoy Prinz,"Frances Langford, Johnny Downs"
1941,American,Del Lord,The Three Stooges
1941,American,Tex Avery,Bugs Bunny
1941,American,Vincent Sherman,"Humphrey Bogart, Kaaren Verne, Conrad Veidt, Jane Darwell"
1941,American,Alfred Santell,"Dorothy Lamour, Jon Hall"
1941,American,George B. Seitz,"Lewis Stone, Mickey Rooney, Kathryn Grayson"
1941,American,Spencer Bennet,"Buck Jones, Tim McCoy"
1941,American,Frank McDonald,"Roy Rogers, Veda Ann Borg"
1941,American,Robert Stevenson,"Charles Boyer, Margaret Sullavan"
1941,American,Richard Thorpe,"Wallace Beery, Lionel Barrymore, Laraine Day, Ronald Reagan"
1941,American,Ray Enright,"Jane Wyman, Dennis Morgan"
1941,American,Edward Griffith,"Sterling Hayden, Madeleine Carroll"
1941,American,Howard Hawks,"Gary Cooper, Barbara Stanwyck"
1941,American,Richard Thorpe,"Wallace Beery, Marjorie Main"
1941,American,Alexander Hall,"Loretta Young, Fredric March"
1941,American,Irving Cummings,"Gene Tierney, Randolph Scott"
1941,American,Charles Reisner,"Marx Brothers, Tony Martin"
1941,American,David Miller,"Robert Taylor, Brian Donlevy"
1941,American,Victor Schertzinger,"Bing Crosby, Mary Martin"
1941,American,Rouben Mamoulian,"Tyrone Power, Linda Darnell, Rita Hayworth, Alla Nazimova"
1941,American,Spencer Williams,"Cathryn Caviness, Spencer Williams"
1941,American,Anatole Litvak,"Priscilla Lane, Betty Field"
1941,American,John Rawlins,"William Gargan, Irene Hervey"
1941,American,Wallace Fox,"The East Side Kids, Keye Luke, Warren Hull"
1941,American,William Keighley,"James Cagney, Bette Davis"
1941,American,Gordon Douglas,"Victor McLaglen, Patsy Kelly, ZaSu Pitts"
1941,American,Arthur Lubin,Abbott and Costello
1941,American,William Howard,"Joan Perry, Anthony Quinn"
1941,American,Eugene Forde,"Constance Moore, Lloyd Nolan"
1941,American,Ray McCarey,"Carole Landis, George Montgomery"
1941,American,Noel M. Smith,"William Lundigan, Maris Wrixon"
1941,American,David Butler,"Bob Hope, Dorothy Lamour"
1941,American,Harry Lachman,"Sidney Toler, Victor Sen Yung, Kay Linaker"
1941,American,Tay Garnett,"Martha Scott, William Gargan"
1941,American,Roy Del Ruth,"Nelson Eddy, Risë Stevens, Nigel Bruce"
1941,American,Orson Welles,"Orson Welles, Joseph Cotten, Everett Sloane, Paul Stewart, Dorothy Comingore, Agnes Moorehead"
1941,American,Elmer Clifton,"Astrid Allwyn, H. B. Warner"
1941,American,Clarence Brown,"James Stewart, Hedy Lamarr"
1941,American,Edward Dmytryk,"Chester Morris, Harriet Hilliard"
1941,American,Archie Mayo,"Don Ameche, Joan Bennett"
1941,American,Gregory Ratoff,"Douglas Fairbanks, Jr., Ruth Warrick, Akim Tamiroff"
1941,American,Robert Florey,"John Garfield, Nancy Coleman"
1941,American,Harry Lachman,"Sidney Toler, Sheila Ryan"
1941,American,Norman Taurog,"Rosalind Russell, Walter Pidgeon"
1941,American,William Beaudine,"Ralph Byrd, Julie Duncan"
1941,American,William Dieterle,"Edward Arnold, Walter Huston, James Craig"
1941,American,Sam Wood,"Jean Arthur, Charles Coburn"
1941,American,Edward Dmytryk,"Boris Karloff, Amanda Duff"
1941,American,John H. Auer,Osa Massen
1941,American,Michael Curtiz,"Errol Flynn, Fred MacMurray"
1941,American,Jacques Tourneur,"Florence Rice, John Beal"
1941,American,Albert Kelley,"Kane Richmond, Wynne Gibson"
1941,American,Robert Sinclair,"Bonita Granville, Dan Dailey"
1941,American,Joseph Santley,"Gene Autry, Fay McKenzie"
1941,American,Victor Fleming,"Spencer Tracy, Ingrid Bergman, Lana Turner"
1941,American,Harold S. Bucquet,"Lew Ayres, Laraine Day, Red Skelton"
1941,American,Eugene J. Forde,"Lloyd Nolan, Mary Beth Hughes, Sheila Ryan"
1941,American,Ben Sharpsteen,"Edward Brophy, Herman Bing"
1941,American,Del Lord,The Three Stooges
1941,American,Chuck Jones,"Elmer Fudd, Bugs Bunny"
1941,American,Robert Florey,Peter Lorre
1941,American,W. S. Van Dyke,"Rosalind Russell, Don Ameche"
1941,American,LeRoy Prinz,"Ann Ayars, Armida"
1941,American,René Clair,"Marlene Dietrich, Mischa Auer"
1941,American,Frank McDonald,"Jean Parker, Richard Arlen"
1941,American,William West,"Leo Gorcey, David Gorcey"
1941,American,Lloyd Bacon,"Errol Flynn, Brenda Marshall, Ralph Bellamy"
1941,American,Gordon Wiles,"Richard Arlen, Eva Gabor, J. Carrol Naish, Nils Asther, Evelyn Brent"
1941,American,George Sidney,"Robert Cummings, Ruth Hussey"
1941,American,Jean Yarbrough,"Frankie Darro, Mantan Moreland, Robert Homans"
1941,American,Irving Reis,"George Sanders, Wendy Barrie"
1941,American,Ralph Murphy,"Jackie Cooper, Susanna Foster"
1941,American,Lynn Shores,"Jane Withers, Buddy Rogers"
1941,American,Frank Strayer,"Ann Miller, Glenn Ford"
1941,American,Monty Banks,Laurel and Hardy
1941,American,Reinhold Schunzel,"Ilona Massey, Alan Curtis"
1941,American,Edmund Goulding,"Mary Astor, Bette Davis, George Brent"
1941,American,"Ford Beebe, John Rawlins","Warren Hull, Keye Luke"
1941,American,King Vidor,"Robert Young, Hedy Lamarr, Ruth Hussey"
1941,American,Andrew L. Stone,"Susanna Foster, Allan Jones"
1941,American,Elmer Clifton,"Jack LaRue, Mary Healy"
1941,American,Lew Landers,"Maxie Rosenbloom, Arline Judge"
1941,American,Tex Avery,Looney Tunes
1941,American,H. C. Potter,"Ole Olsen, Chic Johnson, Martha Raye"
1941,American,Hugh Bennett,"Jimmy Lydon, Mary Anderson"
1941,American,Alexander Hall,"Robert Montgomery, Evelyn Keyes, Claude Rains"
1941,American,Friz Freleng,Bugs Bunny
1941,American,Raoul Walsh,"Ida Lupino, Humphrey Bogart, Joan Leslie, Arthur Kennedy, Cornel Wilde"
1941,American,Joe May,"Gladys George, Barton MacLane, Dead End Kids"
1941,American,Mitchell Leisen,"Charles Boyer, Olivia de Havilland, Paulette Goddard"
1941,American,Arthur Lubin,Abbott and Costello
1941,American,Jack Conway,"Clark Gable, Lana Turner, Claire Trevor"
1941,American,Charles Barton,"Lupe Velez, Bruce Bennett"
1941,American,George Waggner,"Dick Foran, Peggy Moran"
1941,American,John Ford,"Walter Pidgeon, Maureen O'Hara, Roddy McDowall"
1941,American,Irving Pichel,"Paul Muni, Gene Tierney"
1941,American,Phil Rosen,"Ricardo Cortez, Joan Woodbury"
1941,American,H. Bruce Humberstone,"Betty Grable, Victor Mature, Carole Landis"
1941,American,Mitchell Leisen,"Ray Milland, William Holden, Brian Donlevy"
1941,American,Jules White,The Three Stooges
1941,American,Robert Sinclair,"Robert Sterling, Marsha Hunt"
1941,American,Arthur Lubin,"Abbott and Costello, Dick Powell"
1941,American,Jules White,The Three Stooges
1941,American,Tim Whelan,"George Brent, Ilona Massey"
1941,American,Lewis Seiler,"Ronald Reagan, Olympe Bradna"
1941,American,Joseph H. Lewis,"Bela Lugosi, Polly Ann Young"
1941,American,Henry Koster,"Deanna Durbin, Charles Laughton, Robert Cummings"
1941,American,Mervyn LeRoy,"Robert Taylor, Lana Turner, Edward Arnold"
1941,American,"William Witney, John English",Frances Gifford
1941,American,Harry Fraser,"Buster Crabbe, Sheila Darcy"
1941,American,Harold Bucquet,"Shirley Temple, Gail Patrick, Laraine Day"
1941,American,Arthur Lubin,"Abbott and Costello, Martha Raye"
1941,American,Jean Yarbrough,"Dick Purcell, Joan Woodbury"
1941,American,Victor Schertzinger,"Mary Martin, Don Ameche"
1941,American,Lewis Seiler,"Jane Wyatt, Shirley Ross, Dennis Morgan"
1941,American,Charles Vidor,"Ida Lupino, Louis Hayward"
1941,American,Norman Z. McLeod,"Eleanor Powell, Ann Sothern, Robert Young, Virginia O'Brien, Red Skelton, Phil Silvers"
1941,American,Preston Sturges,"Barbara Stanwyck, Henry Fonda"
1941,American,Bernard Vorhaus,"John Wayne, Ona Munson"
1941,American,Frank Woodruff,"Dennis O'Keefe, Mildred Coles"
1941,American,Leslie Goodwins,"Jean Rogers, Bob Crosby"
1941,American,George B. Seitz,"Lewis Stone, Mickey Rooney, Fay Holden"
1941,American,Theodore Reed,"Jackie Cooper, Eddie Bracken"
1941,American,William Wyler,"Bette Davis, Herbert Marshall, Teresa Wright"
1941,American,Jack Joseph Spence,"Warren William, Frances Robinson"
1941,American,Allan Dwan,"Edgar Bergen, Lucille Ball, Jim Jordan"
1941,American,Julien Duvivier,"Merle Oberon, Joseph Cotton, Edna May Oliver"
1941,American,John Huston,"Humphrey Bogart, Mary Astor, Sydney Greenstreet, Peter Lorre, Elisha Cook, Jr., Ward Bond"
1941,American,John H. Auer,"John Wayne, Frances Dee"
1941,American,Fritz Lang,"Walter Pidgeon, Joan Bennett, Roddy McDowall, George Sanders"
1941,American,George Waggner,"Lon Chaney, Jr., Lionel Atwill"
1941,American,Raoul Walsh,"Edward G. Robinson, Marlene Dietrich, George Raft"
1941,American,Edward Ludwig,"Brian Aherne, Kay Francis"
1941,American,Lambert Hillyer,"Charles Starrett, Terry Walker, Ben Taggart"
1941,American,Robert Florey,"Chester Morris, Rochelle Hudson"
1941,American,Frank Capra,"Gary Cooper, Barbara Stanwyck, Walter Brennan"
1941,American,Edward F. Cline,"Hugh Herbert, Jeanne Kelly"
1941,American,Norman Taurog,"Spencer Tracy, Mickey Rooney"
1941,American,William Morgan,Gloria Dickson
1941,American,Hanna-Barbera,
1941,American,Curtis Bernhardt,"Ronald Reagan, Priscilla Lane"
1941,American,,
1941,American,Stuart Heisler,"Ellen Drew, Robert Paige, Paul Lukas"
1941,American,Charles Lamont,"Jane Frazee, Johnny Downs"
1941,American,Alfred Hitchcock,"Carole Lombard, Robert Montgomery"
1941,American,Dave Fleischer,
1941,American,William Morgan,"Dennis O'Keefe, Florence Rice, Peter Lorre"
1941,American,Phil Rosen,"Wallace Ford, Marian Marsh"
1941,American,Lewis Milestone,"Ronald Colman, Anna Lee, Charles Winninger"
1941,American,Lloyd Bacon,"Ann Sheridan, Martha Raye"
1941,American,Edward Cline,"W. C. Fields, Gloria Jean"
1941,American,Charles Vidor,"Fred MacMurray, Mary Martin"
1941,American,Gordon Douglas,"Tom Brown, ZaSu Pitts"
1941,American,William A. Seiter,"Deanna Durbin, Franchot Tone, Walter Brennan"
1941,American,,
1941,American,Hanna-Barbera,
1941,American,William Clemens,"Robert Preston, Ellen Drew"
1941,American,A. Edward Sutherland,"Ronald Reagan, Joan Perry"
1941,American,Frank McDonald,"Jean Parker, Chester Morris"
1941,American,Noel Smith,"Lee Patrick, Julie Bishop"
1941,American,Irving Rapper,"Fredric March, Martha Scott, Beulah Bondi, Gene Lockhart"
1941,American,Anatole Litvak,"Ida Lupino, John Garfield, Eddie Albert"
1941,American,Ralph Murphy,"Robert Preston, Martha O'Driscoll"
1941,American,Walter Lantz,Woody Woodpecker
1941,American,Phil Rosen,"Joan Woodbury, Jack La Rue, Alan Ladd"
1941,American,Leslie Goodwins,"Robert Preston, Nancy Kelly, Edmond O'Brien, Harry Carey, Buddy Ebsen"
1941,American,Edwin L. Marin,"Elisabeth Bergner, Randolph Scott, Basil Rathbone"
1941,American,Harold S. Bucquet,"Lionel Barrymore, Edward Arnold, Marsha Hunt"
1941,American,George Stevens,"Irene Dunne, Cary Grant, Beulah Bondi, Edgar Buchanan"
1941,American,Harold S. Bucquet,"Lew Ayres, Laraine Day, Bonita Granville"
1941,American,Erle C. Kenton,"Ruth Donnelly, Roscoe Karns"
1941,American,Jack Townley,"Billy Conn, Jean Parker"
1941,American,Frank Woodruff,"Kay Francis, Mildred Coles"
1941,American,David Butler,"Kay Kyser, Lupe Velez"
1941,American,George Marshall,"James Stewart, Paulette Goddard"
1941,American,James Hogan,"Richard Arlen, Helen Mack"
1941,American,W. S. Van Dyke,"Robert Montgomery, Ingrid Bergman, Oskar Homolka, George Sanders"
1941,American,William A. Wellman,"Joel McCrea, Ellen Drew"
1941,American,Henry King,"Claudette Colbert, John Payne"
1941,American,Lew Landers,"Gene Autry, Mary Lee"
1941,American,Edwin L. Marin,"Ann Sothern, George Murphy"
1941,American,Hal Roach,"Carole Landis, Adolphe Menjou"
1941,American,Victor Schertzinger,"Bob Hope, Bing Crosby, Dorothy Lamour"
1941,American,Phil Rosen,"Jean Parker, Wallace Ford"
1941,American,Herbert I. Leeds,"Cesar Romero, Patricia Morison"
1941,American,Lesley Selander,"Richard Dix, Patricia Morison"
1941,American,Albert S. Rogell,"Shirley Ross, William Lundigan"
1941,American,Jack Hively,"George Sanders, Wendy Barrie"
1941,American,Leslie Fenton,"Hugh Sinclair, Leueen MacGrath"
1941,American,Norman Foster,"Nancy Kelly, Edmund Gwenn"
1941,American,Walter Lantz,
1941,American,Ford Beebe,"Dead End Kids, Little Tough Guys"
1941,American,Michael Curtiz,"Edward G. Robinson, Ida Lupino, John Garfield"
1941,American,Howard Hawks,"Gary Cooper, Walter Brennan, Joan Leslie"
1941,American,W. S. Van Dyke,"William Powell, Myrna Loy"
1941,American,Josef von Sternberg,"Gene Tierney, Walter Huston, Victor Mature"
1941,American,Richard Wallace,"Joan Bennett, Franchot Tone"
1941,American,Irving Rapper,"James Stephenson, Geraldine Fitzgerald, Donald Crisp"
1941,American,William McCann,"William Lundigan, Nan Wynn"
1941,American,William Morgan,"Gene Autry, Fay McKenzie"
1941,American,Charles Lamont,"Jane Frazee, Johnny Downs"
1941,American,Lew Landers,"Gene Autry, Mary Lee"
1941,American,David Howard,"Tim Holt, Fern Emmett, Eddy Waller"
1941,American,John Rawlins,"Lupe Velez, Leon Errol, Helen Parrish"
1941,American,Ford Beebe,Donald Woods
1941,American,Mark Sandrich,"Claudette Colbert, Ray Milland, Brian Aherne"
1941,American,Lewis Seiler,"Alexis Smith, Wayne Morris"
1941,American,John Cromwell,"Fredric March, Margaret Sullavan"
1941,American,Jules White,The Three Stooges
1941,American,Del Lord,The Three Stooges
1941,American,Phil Rosen,"Bela Lugosi, Leo Gorcey, Huntz Hall, Bobby Jordan"
1941,American,A. Edward Sutherland,"Alexis Smith, Lloyd Nolan"
1941,American,D. Ross Lederman,"Arthur Kennedy, Joan Perry"
1941,American,Preston Sturges,"Joel McCrea, Veronica Lake"
1941,American,H. Bruce Humberstone,"Sonja Henie, Lynn Bari, John Payne, Milton Berle"
1941,American,Alfred Hitchcock,"Cary Grant, Joan Fontaine, Nigel Bruce, Cedric Hardwicke, Dame May Whitty, Leo G. Carroll"
1941,American,Jean Renoir,"Walter Brennan, Walter Huston, Anne Baxter"
1941,American,H. Bruce Humberstone,"Cesar Romero, Virginia Gilmore, Milton Berle"
1941,American,George Marshall,"William Holden, Glenn Ford"
1941,American,Alexander Korda,"Vivian Leigh, Laurence Olivier"
1941,American,Irving Cummings,"Don Ameche, Alice Faye, Carmen Miranda"
1941,American,Ernst Lubitsch,"Merle Oberon, Melvyn Douglas, Burgess Meredith"
1941,American,James Whale,"Martha Scott, George Brent"
